"Data","Rate","PatternACC","PatternACC(single)","PatternACC(multiple)","p.skip","p.insert","p.rework","p.replace","p.moved","p.normal","p.anomaly","ReconACC","ReconACC(single)","ReconACC(multiple)","ReconERR.before","ReconERR.after","time"
"Small","0.10","0.9598","0.9252","0.6487","1","0.9905","1","0.9952","1","1","0.9924","0.9964","0.9971","0.881","0.774178832116788","NaN","0.228081901868184"
"Small","0.25","0.9775","0.9252","0.6487","1","0.9905","1","0.9952","1","1","0.9924","0.998","0.9971","0.881","0.434015345268542","NaN","0.236514647801717"
"Small","0.50","0.987","0.9252","0.6487","1","0.9905","1","0.9952","1","1","0.9924","0.9989","0.9971","0.881","0.250553668979773","NaN","0.335725716749827"
"Small","1.00","0.993","0.9252","0.6487","1","0.9905","1","0.9952","1","1","0.9924","0.9994","0.9971","0.881","0.13576","NaN","0.509339666366577"
